Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2686	-59	21	10	3	E2 00 6D 80 03 00 0E 25 
2686	-68	22	10	3	52 00 6D FF 73 00 09 E9 
2686	-64	23	10	3	62 00 6D FF C3 00 38 68 
2686	-58	24	10	3	82 00 6D 29 BB 00 E5 94 
2686	-78	25	10	3	E2 00 6D 80 03 00 0E 25 
2686	-60	26	10	3	52 00 6D FF 73 00 09 E9 
2687	-67	27	10	3	42 00 6D FF C3 00 0D 60 
2686	-70	28	10	3	82 00 6D 29 BB 00 E5 94 
2686	-68	29	10	3	E2 00 6D 80 03 00 0E 25 
RxTime	RSSI	chan	crc err	ID	packet
2687	-63	30	10	3	52 00 6D FF 73 00 09 E9 
2673	-63	31	10	3	92 00 6D 00 03 07 00 04 
2686	-67	32	10	3	82 00 6D 29 BB 00 E5 94 
2686	-65	33	10	3	E2 00 6D 80 03 00 0E 25 
2686	-62	34	10	3	52 00 6D FF 73 00 09 E9 
2686	-75	35	10	3	A2 00 6D EA 2B 00 B7 D0 
2686	-84	36	10	3	82 00 6D 29 BB 00 E5 94 
2687	-69	37	10	3	E2 00 6D 80 03 00 0E 25 
2686	-57	38	10	3	52 00 6D FF 73 00 09 E9 
2686	-62	39	10	3	A2 00 6D EA 2B 00 B7 D0 
2687	-73	40	10	3	82 00 6D 29 BB 00 E5 94 
2686	-59	41	10	3	E2 00 6D 80 03 00 0E 25 
2686	-68	42	10	3	52 00 6D FF 73 00 09 E9 
Got CRC error. 18 66 8C 57 DC B5 A7 6C    Seconds since last error: 138    Minutes running: 25.32

5373	-58	44	11	3	82 00 6D 29 BB 00 E5 94 
2686	-71	45	11	3	E2 00 6D 80 03 00 0E 25 
2686	-59	46	11	3	52 00 6D FF 73 00 09 E9 
2687	-68	47	11	3	42 00 6D FF C3 00 0D 60 
2686	-59	48	11	3	82 00 6D 29 CB 00 ED CD 
2686	-64	49	11	3	E2 00 6D 80 03 00 0E 25 
2687	-66	50	11	3	52 00 6D FF 73 00 09 E9 
2686	-59	0	11	3	92 00 6D 00 03 07 00 04 
2686	-58	1	11	3	82 00 6D 29 CB 00 ED CD 
RxTime	RSSI	chan	crc err	ID	packet
2686	-59	2	11	3	E2 00 6D 80 03 00 0E 25 
2674	-62	3	11	3	52 00 6D FF 73 00 09 E9 
2686	-64	4	11	3	A2 00 6D F1 2B 00 04 42 
2686	-62	5	11	3	82 00 6D 29 CB 00 ED CD 
2687	-68	6	11	3	E2 00 6D 80 03 00 0E 25 
2686	-68	7	11	3	52 00 6D FF 73 00 09 E9 
2686	-60	8	11	3	A2 00 6D F1 2B 00 04 42 
2687	-62	9	11	3	82 00 6D 29 CB 00 ED CD 
2686	-59	10	11	3	E2 00 6D 80 03 00 0E 25 
2686	-63	11	11	3	52 00 6D FF 73 00 09 E9 
Got CRC error. 63 80 BF FF 61 00 0E DA    Seconds since last error: 53    Minutes running: 26.22

5373	-64	13	12	3	82 00 6D 29 CB 00 ED CD 
2686	-59	14	12	3	E2 00 6D 80 03 00 0E 25 
2686	-60	15	12	3	52 00 6D FF 73 00 09 E9 
2687	-64	16	12	3	42 00 6D FF C3 00 0D 60 
2686	-64	17	12	3	82 00 6D 29 CB 00 ED CD 
2686	-58	18	12	3	E2 00 6D 80 03 00 0E 25 
2687	-75	19	12	3	52 00 6D FF 73 00 09 E9 
2686	-63	20	12	3	92 00 6D 00 03 07 00 04 
2686	-60	21	12	3	82 00 6D 29 CB 00 ED CD 
2686	-68	22	12	3	E2 00 6D 80 03 00 0E 25 
2686	-67	23	12	3	52 00 6D FF 73 00 09 E9 
2686	-61	24	12	3	A2 00 6D F0 2B 00 33 72 
RxTime	RSSI	chan	crc err	ID	packet
2686	-78	25	12	3	82 00 6D 29 CB 00 ED CD 
2674	-57	26	12	3	E2 00 6D 80 03 00 0E 25 
2686	-64	27	12	3	52 00 6D FF 73 00 09 E9 
2686	-74	28	12	3	A2 00 6D F0 2B 00 33 72 
2687	-68	29	12	3	82 00 6D 29 CB 00 ED CD 
2686	-59	30	12	3	E2 00 6D 80 03 00 0E 25 
2686	-62	31	12	3	52 00 6D FF 73 00 09 E9 
2686	-67	32	12	3	62 00 6D FF C3 00 38 68 
2686	-64	33	12	3	82 00 6D 29 CB 00 ED CD 
2686	-59	34	12	3	E2 00 6D 80 03 00 0E 25 
2686	-71	35	12	3	52 00 6D FF 73 00 09 E9 
2687	-81	36	12	3	42 00 6D FF C3 00 0D 60 
2686	-68	37	12	3	82 00 6D 29 CB 00 ED CD 
2686	-59	38	12	3	E2 00 6D 80 03 00 0E 25 
2687	-64	39	12	3	52 00 6D FF 73 00 09 E9 
2686	-80	40	12	3	92 00 6D 00 03 07 00 04 
2686	-60	41	12	3	82 00 6D 29 CB 00 ED CD 
2686	-67	42	12	3	E2 00 6D 80 03 00 0E 25 
2686	-65	43	12	3	52 00 6D FF 73 00 09 E9 
2686	-62	44	12	3	A2 00 6D F3 2B 00 6A 22 
2686	-70	45	12	3	82 00 6D 29 CB 00 ED CD 
2687	-58	46	12	3	E2 00 6D 80 03 00 0E 25 
RxTime	RSSI	chan	crc err	ID	packet
